review_title,review_text,high_satisfaction,reconstruction_error,product_name,brand_name
great,10/10 would buy again,1,0.005527243543925191,Cleansing & Exfoliating Wipes,SEPHORA COLLECTION
super hydrating,i actually really like this as my step before my moisturizer. it feels super hydrating. definitely would recommend.,1,0.005516396159639257,B-Hydra Intensive Hydration Serum with Hyaluronic Acid,Drunk Elephant
love this!,after just one day my skin is so soft and looks so much more hydrated!,1,0.005503529198580564,Confidence in a Gel Lotion,IT Cosmetics
not worth the price,"a very average cleanser, doesn’t do that much. not worth the price.",0,0.005503444878154794,Gentle Daily Wash,Kate Somerville
,i loved it i just started using it and i’m feeling the difference.,1,0.005502791640417574,Ceramidin  Eye Cream with Niacinamide,Dr. Jart+
glow,"love this, gives me a glow so i don’t have to wear makeup....",1,0.005496564136459332,THE FACE Illuminating Self-Tan Drops,TAN-LUXE
,"love these, they are my favorite, i’ve tried so many, the smell is refreshing!!",1,0.005478777038899651,Clean Cleansing & Gentle Exfoliating Wipes,SEPHORA COLLECTION
holy grail face oil,"this face oil is absolutely amazing. it absorbs so quickly leaves your face glowing throughout the entire day. i didn’t see a difference in my fine lines and wrinkles. this is some thing i would definitely recommend being in my 40s this is definitely part of my every day routine from here on out, i would highly recommend this.",1,0.0054587085531091215,Mini Noni Glow Face Oil,KORA Organics
not very moisturizing,"non-greasy but at the same time not very moisturizing. it feels really light on the skin with refreshing smell, it’s a nice day cream but definitely not enough for winter.",0,0.005439327633397589,GinZing Ultra-Hydrating Energy-Boosting Cream,Origins
,if you have dry skin they i highly recommend it because i have used it and it works really good for me,1,0.005433490262972899,Jet Lag Mask,Summer Fridays
greasy…,"moisturizing, but leaves skin feeling greasy. may be better for those with dry skin.",0,0.005423063383240438,Mini Barrier+ Triple Lipid-Peptide Face Cream,Skinfix
lightweight,super light weight and easy to apply with no greasy feeling!,1,0.005417225427664825,Santorini Grape Poreless Skin Cream,KORRES
,really gives a natural dewy glow. perfect for winter to get that glow look.,1,0.005406866893329176,Mini Glow Drops,Dr. Barbara Sturm
the best,"holy grail product! so worth the money, feels amazing on the skin!",1,0.005403415563288265,Squalane + Vitamin C Rose Firming Oil,Biossance
love it!,very hydrating and i love the feel of it! highly recommend!,1,0.005397741655253772,100% Sugarcane Squalane Oil,Biossance
very hydrating,"i have oily skin with enlarged pores and i loved how hydrating this cream was for my skin. however, i noticed that if i didn’t exfoliate or use toner, my pores would clog up. this is a very good moisturizer but keep an eye on your pores and use toner as part of your routine with this moisturizer.",1,0.005383366465233196,Absolue Soft Cream Revitalizing & Brightening Moisturizer,Lancôme
love the smell,smells good and it works!,1,0.005367259748638009,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE
,"this stuff is awesome , definitely recommend",1,0.005319118950231807,The True Cream Aqua Bomb,belif
okay,not very hydrating. felt very sticky all day.,0,0.00530464980702951,Cooling Water,MILK MAKEUP
clean and fresh,"i love how clean this product feels on my skin! it feels super good and fresh whenever i put it on, it never feels heavy or greasy.",1,0.005301065764478827,The Serum Stick: Treatment & Touch Up Balm,Tatcha
worth the money,i love this product!!,1,0.005298841800553791,Beste No. 9 Jelly Cleanser,Drunk Elephant
,amazing moisturizing toner. it feels so good on my skin.,1,0.005297659594125319,Cream Skin Toner & Moisturizer,LANEIGE
holy grail of facewahes,my holy grail to my skincare routine. i will never change face washes. i use this and then khiels moisturizer and they’re the perfect pair.,1,0.005273622728704074,Superfood Antioxidant Cleanser,Youth To The People
light and refreshing,love the way this product feels and smells on my skin! super light and refreshing. highly recommend.,1,0.005260172858074822,GinZing Refreshing Scrub Cleanser,Origins
,"loved this product, it’s my official moisturizer now. saw results in less then a week, worth the price!",1,0.005247918751506732,Secret Sauce Moisturizer,IT Cosmetics
,"love this oil, it’s super thin, i’m greasy and this feels like water ❤️",1,0.005244815155633313,100% Plant-Derived Hemi-Squalane,The Ordinary
perfect but..,perfect under my primer. perfect after my setting powder. perfect throughout the day. perfect before i go to bed.but why 4 stars? it smells like raisins. of course it will because it’s grape water but.. i do not like raisins.i can live with it though.. it works too well.,1,0.00522242617453268,Grape Water Moisturizing Face Mist,Caudalie
,this product goes on smooth. smells good and keeps your skin hydrated at night or day.,1,0.005204835326052415,GOOPGLOW Glow Lotion,goop
all the yes!,i love this product - i use it morning and night. super light weight and moisturizing. must have!,1,0.005171055424675659,Superfood Air-Whip Lightweight Moisturizer with Hyaluronic Acid,Youth To The People
great stuff,very good loved how it made you look so radiant and moisturized. would highly recommend.,1,0.005154835304336371,Mini Revitalizing Supreme+ Youth Power Creme Moisturizer,Estée Lauder
great stuff,very good loved how it made you look so radiant and moisturized. would highly recommend.,1,0.005154835304336371,Revitalizing Supreme+ Youth Power Creme Moisturizer,Estée Lauder
my holy grail,"this is my favorite toner ever. my skin has never looked better, and it smells so good. the bottle will literally last you forever so its very worth it, i highly recommend this product.",1,0.005114021435262358,Mini Watermelon Glow PHA + BHA Pore-Tight Toner,Glow Recipe
best oil!!!,i love this face oil! i have never really used a face oil before and wanted to try it. this oil is very thick and is really similar to honey. even though it is thick it soaks right into my skin and does not make it greasy at all which is what i was worried about. i use this during the day and at night and still use a moisturizer with it. if you wanna buy this oil get it!!!,1,0.00510296987505463,Honey Grail Ultra-Hydrating Face Oil,Farmacy
,i only had a sample of this but i loved it and it is definitely worth purchasing! the formula is smooth and i felt hydrated all day.,1,0.005089476987078411,Superfood Air-Whip Lightweight Moisturizer with Hyaluronic Acid,Youth To The People
,i like it. my skin looks nice.,1,0.005089008564222824,Mini Ultra Facial Moisturizing Cream with Squalane,Kiehl's Since 1851
,"loved it! kept my skin well hydrated. not a fan of the scent, but other than that, i loved it!",1,0.005088704529793253,Squalane + Vitamin C Rose Firming Oil,Biossance
nice,feels clean and doesn’t make my skin dry at all.,1,0.005085636443480518,Perfectly Clean Multi-Action Foam Cleanser/Purifying Mask,Estée Lauder
amazing oil!,great product! i’ve been using this oil every night and i’ve been waking up with beautiful glowing skin. i normally have dry skin however it has been very hydrated since using this oil! highly recommend this oil! the ingredients are great and i have no breakouts or clogged pores from this oil.,1,0.005077998470926184,Emerald Hemp Seed Deep Moisture Glow Oil,Herbivore
amazing,i love this product!! i have only been using it for three days but my skin feels so much better and hydrated and it looks better too... highly recommend❤️,1,0.005076139123697071,Mini Barrier+ Triple Lipid-Peptide Face Cream,Skinfix
,absolutely love this product. makes my skin smell nice and doesn’t feel too thick.,1,0.005064551773798288,Mini Rose & Hyaluronic Acid Deep Hydration Toner,fresh
love it,my skin looks and feels so good! i highly recommend it.,1,0.005053572255804145,Yo Detox Charcoal Face & Body Enzyme Scrub,Wishful
,this is so great! my skin felt so hydrated and was glowing after i used. love it!,1,0.0050465598855777005,Mini Superberry Hydrate + Glow Dream Mask,Youth To The People
holy grail great price,my holy grail and wears well even under my drugstore foundation. i have combo skin and this gives me a healthy glow.,1,0.005039632726808395,Daily UV Defense Invisible Broad Spectrum SPF 36 Sunscreen,innisfree
amazing,this oil feels so light and moisturizing at the same time! it obsorbs right away and does not break me out.,1,0.005031793844009023,100% Sugarcane Squalane Oil,Biossance
,very hydrating spray! used this as a toner in my daily routine,1,0.005026367411436101,Paradisi Hydrating Essence Mist,DAMDAM
amazing!!,"i absolutely love this serum my skin looks and feels amazing, the price is a big high in my opinion but this product might actually be worth it. my skin is glowing, smooth and looks so hydrated. this smells absolutely amazing too. a little bit goes a long way with this product though. you should only need a pump or two for your whole face. i got this product for free to review.",1,0.00502590457616937,The Dewy Serum Resurfacing and Plumping Treatment,Tatcha
a must have,this is my go to to remove my make up. i highly recommend.,1,0.005007120720578384,Green Clean Makeup Meltaway Cleansing Balm Limited Edition Jumbo,Farmacy
good,"nice, clean and refreshing. it makes my skin look smooth. i like it.",1,0.005004775728291776,Ethylated Ascorbic Acid 15% Solution,The Ordinary
,my favorite sunscreen ever! looks very nice with or without make-up.,1,0.005001473677496137,City Skin Age Defense Broad Spectrum SPF 50 PA++++,Murad
,"i like the texture of it, but it made my makeup look greasy on top of it, it made my skin too oily.",1,0.0049988293520861335,Hello FAB Coconut Skin Smoothie Priming Moisturizer,First Aid Beauty
great stuff,it’s an amazing product. it doesn’t leave you feeling oily. would definitely recommend!,1,0.004985001607068883,Revitalizing Supreme+ Youth Power Creme Moisturizer,Estée Lauder
,i love this product!!! it’s light and moisturizing. i put a thicker one on at night and use this in the morning. perfect!,1,0.004975816478193847,The True Cream Aqua Bomb,belif
,probably one of my favorite face products. you see a difference immediately after. one of my new go to products when i want that fresh clean look when not wearing any make up,1,0.004972642312186661,Mini FIRMx Exfoliating Peel Gel,Peter Thomas Roth
very gentle toner,i was looking for a new toner and this stuff is perfect! it gently cleanses skin without being too drying. it has a nice fresh scent.,1,0.004953404866639296,Deep Sweep 2% BHA Pore Cleaning Toner with Moringa + Papaya,Farmacy
hydrating but greasy,use sparingly or youll end up looking greasy . hydrating and moisturizing but not for me.,1,0.004953028199773859,Pure Argan Milk Intensive Hydrating Treatment,Josie Maran
,makes my face feel super clean and fresh. smells great too,1,0.004951926842923894,Mini Acne Control Clarifying Cleanser,Murad
,love how moisturizing this is and it doesn’t feel heavy on my skin.,1,0.004941795546106777,Pink Cloud Soft Moisture Cream,Herbivore
love the results. but..,i loved the way my skin felt overall after using this sample. the only complaint is the way it felt on my skin. i have oily / combination skin. it felt greasy on my skin. i resorted to only using it at night and still had great results.,1,0.0049392747623279885,Revitalizing Supreme+ Youth Power Creme Moisturizer,Estée Lauder
,perfect for oily skin! very moisturizing and absorbs quickly!,1,0.004918911592224516,The True Cream Aqua Bomb,belif
,"not bad, very gentle. like cream texture and smells good.",1,0.004918829621061962,Mini Confidence in a Cleanser,IT Cosmetics
eh.. not worth the money.,"for the money, it’s not worth it. you could buy something else.",0,0.004901373509952799,Violet-C Radiance Mask,Tatcha
smells nice and does the job,it smells good and does the job. more for a summer light weight moisture. if you put too much it makes you look oily.,1,0.00489926776060988,GinZing Ultra-Hydrating Energy-Boosting Cream,Origins
worth it,"super worth it for the price! ever since i started using this and only moisturizer, my skin got better. i’m now in my second bottle. skin feels moisturized after using.",1,0.004889013828179771,Niacinamide 10% + Zinc 1% Oil Control Serum,The Ordinary
works great!,works great on my skin. my skin feels so much better now that i have used it for two weeks now. i would definitely recommend this product to anyone,1,0.004888879295394252,Discover Healthy Skin Kit,Dermalogica
,it’s so lightweight it feels like nothing and it’s really hydrating.,1,0.004885255670764376,Omega Water Cream Moisturizer,The INKEY List
love clean skin,"wonderful, gentle and fresh",1,0.00488090302271978,All About Clean Liquid Facial Soap,CLINIQUE
it's great,"it smells nice, and made my skin feel smooth after using it.",1,0.004869176812355835,Green Clean Makeup Removing Cleansing Balm,Farmacy
good product,a great product really moisturizer my skin and felt a difference in texture.,1,0.004845596600291547,Advanced Night Repair Synchronized Multi-Recovery Complex Duo,Estée Lauder
,this is worth all the money. it is amazing and has changed my skin so much in such little time. i would highly recommend to everyone! i love it!,1,0.004834378202600902,Mini Indigo Overnight Repair Serum in Cream Treatment,Tatcha
,i love it it works so well. i’m so surprised about the product and how it works,1,0.004814393978652928,Greek Yoghurt Nourishing Probiotic Gel-Cream,KORRES
smell so goood!!!,i am obsessed with the smell of these & they do the job! if i could buy a palette of them i would! @icravejewels,1,0.004808554755819472,Cleansing & Exfoliating Wipes,SEPHORA COLLECTION
amazing stuff,this stuff is amazing! i love the way it makes my skin feel and look.,1,0.00479278852834568,Sunshine Vitamin C + Squalane Face Oil,MILK MAKEUP
buy it !!!,love it ! you can really see a difference on your skin!,1,0.004744962687586968,Skin Perfecting 2% BHA Liquid Exfoliant,Paula's Choice
,love this stuff! took off my makeup super easy and left my skin nice and smooth,1,0.004734748017154294,Oat Cleansing Balm,The INKEY List
,it did not do much for me. i used it every day. i didn’t see much difference...,0,0.004715903612670731,Caffeine Eye Cream,The INKEY List
,"i use this at night time because it seems a little thick. it works for my sensitive and dry skin and has a really nice smell, not too strong.",1,0.0047114341590614025,The True Cream Moisturizing Bomb,belif
all time favorite!,my all time favorite vitamin c. been using this for 2 years now and it’s made a huge difference! it lasts me a long time as well and smells divine! love love love!,1,0.004699827161080644,Banana Bright 15% Vitamin C Serum,OLEHENRIKSEN
i love it,so refreshing and my skin looks very hydrated. good price too,1,0.004696110894628718,"Mini Facial Spray with Aloe, Herbs and Rosewater",Mario Badescu
,"this is the second time i buy it, i love how i feel my skin after using this product, a soft, clean and fresh feeling, i have sensitive skin and it works very well, i recommend it!",1,0.004691289917517406,Mini FIRMx Exfoliating Peel Gel,Peter Thomas Roth
,loved this product the first time i tried it. very light feeling and no off putting scent. within one week i saw good results. received this as a sample and will buy!!,1,0.004689199699450815,Auto Correct Brightening + Depuffing Eye Cream for Dark Circles,Sunday Riley
holy grail moisturizer,i got a sample with my point s and after a week i ordered the full size i ve used it over 3 weeks now and i think this is a holy grail item for me. plus the packaging it super cute.,1,0.004686876945655421,The Water Cream Oil-Free Pore Minimizing Moisturizer,Tatcha
smells amazing!!! refreshing,this smells so refreshing! it’s lightweight on your face and doesn’t make my skin feel or look greasy like some moisturizers.,1,0.004666105245234063,The True Cream Aqua Bomb,belif
would recommend this product!,"i have read a lot of great reviews on this toner. i’m so excited to try this out. the packaging is pretty cute and good size for me. i usually use as a toner, it gives my skin a soft and hydrated feel. this toner is perfect for the summer, not sticky or oily! i love this product and would absolutely recommend for dry skin. i received this product as a free sample.",1,0.00464927913321721,Cream Skin Toner & Moisturizer,LANEIGE
love theproduct not the smell,"excellent product, awfull smell.",1,0.004648041686298495,Pure Skin Face Cleanser,First Aid Beauty
,on my second bottle. doesn’t break me out and does its job,1,0.004647191767159143,Whipped Argan Oil Face Butter,Josie Maran
average toner,"this toner is good, gets all the dirt and makeup that was missed, doesn’t dry out my skin, however my $15 toner from the drug store does the same thing. my skin may feel a little more hydrated but for the price and being a higher end toner i didn’t notice a huge different. still a good toner to use, just not blown away",0,0.004646119653302155,Aqua Bomb Hydrating Toner,belif
,my favorite go to moisturizer.,1,0.004644852327906201,GinZing Ultra-Hydrating Energy-Boosting Cream,Origins
must buy,super moisturizing and luxurious/thick moisturizer,1,0.004643697123635156,Vegan Milk Moisturizer,MILK MAKEUP
i have oily/combo skin,this is a holy grail!! love this stuff!!! does what it needs too!!,1,0.004633160680988,Dramatically Different Moisturizing Gel,CLINIQUE
great toner,this has an ok scent and works great as a toner so far. it does have a bit of an alcohol scent which also makes it a bit drying but it works pretty good as a toner and does leave my skin feeling glowy and tightens pores. a bit expensive but i would repurchase.,1,0.004629871940308375,"Beauty Elixir Prep, Set, Glow Face Mist",Caudalie
an amazing toner!,i am a huge fan of this toner! it smells great and it works great! i have acne and dry skin and this helps all of it!,1,0.00462758972415954,Tonique Confort Re-Hydrating Comforting Toner with Acacia Honey,Lancôme
,it smells good and keep your lips hydrated,1,0.004626817012508544,Sugar Hydrating Lip Balm,fresh
smooth results!,i don’t like the smell but i do love how it makes my skin feel after i use it.,1,0.004626478429114614,Mini GOOPGLOW Microderm Instant Glow Exfoliator,goop
,super moisturizing and non-irratating a must-have!,1,0.004625352867008414,Natural Moisturizing Factors + HA,The Ordinary
,i love this moisturizer! it’s amazing like all shishiedo products!,1,0.004618814353948551,SHIKULIME Color Control Oil-Free Moisturizer SPF 30,WASO
,great thick night cream! i have super dry skin and this is great,1,0.00460493214163759,Ultra Repair Hydra-Firm Night Cream,First Aid Beauty
,"great product, i use this every morning. light weight",1,0.0045991016819886335,Superscreen Daily Moisturizer Sunscreen SPF 40 PA+++,Supergoop!
love,so nice! noticed a better looking skin after the first night of using it!,1,0.004581068416087929,Good Genes All-In-One AHA Lactic Acid Treatment,Sunday Riley
,great for summer but not for winter. far too light! smells amazing and light. absorbs quickly and not greasy!,1,0.0045792758051278444,GinZing Ultra-Hydrating Energy-Boosting Cream,Origins
perfect for dry/combination skin,this toner is amazing because it doesn’t dry your skin out and it is also gentle. i love using this.,1,0.004579040377743754,Tonique Confort Re-Hydrating Comforting Toner with Acacia Honey,Lancôme
love this night oil,i love this sleeping night oil. i use it every night and my skin feels and looks great. this is a rich oil but not greasy. i like the smell of it as well. this product is luxurious.,1,0.004574787565914968,Luna Sleeping Retinoid Night Oil,Sunday Riley
smells great and really hydrates,"i use this at night, under my serum, and it’s wonderful. it’s hydrating and smooth and smells really nice. i love this and definitely recommend it.",1,0.0045645737858503906,Rose & Hyaluronic Acid Deep Hydration Toner,fresh
just okay,"i was excited to try this but when i received it the first thing i noticed was the smell, i did not like the smell so i used it at night only, i did not see or feel any difference with this as compared to my other cream, i did not like this.",0,0.004562306700662043,Confidence in a Cream Anti-Aging Hydrating Moisturizer,IT Cosmetics
greasy,did not like this. it was greasy and didn’t sit well under makeup.,0,0.004560358677361443,Superscreen Daily Moisturizer Sunscreen SPF 40 PA+++,Supergoop!
,loved the way my face feels and looks after using this product. my face looks brighter and more clear since using it. i also noticed my pores look smaller. i would highly recommend this to anyone wanting a fresh look.,1,0.004556425960035382,Alpha Beta Pore Perfecting & Refining Serum,Dr. Dennis Gross Skincare
does the job,i love how easy it is to apply. super smooth and not too greasy! so far i have loved it. packaging is simple and clean and isn’t too big or small. the smell is clean and fresh. i received this product for free for testing purposes,1,0.004553905186986115,Glow Cycle Retin-ALT Power Serum,OLEHENRIKSEN
love!!!,love this product. it doesn’t make your skin sticky at all!!!!!,1,0.0045532627417521065,Mini Water Drench  Hyaluronic Hydrating Moisturizer SPF 45,Peter Thomas Roth
,"i wanted to like this product so i used it for two weeks, but makes my skin break out every time i use it.",0,0.004548945242623535,Niacinamide Oil Control Serum,The INKEY List
my holy grail,this is so hydrating & feels so good on my skin. really good for acne prone skin!!,1,0.004548234777048548,C-Rush Vitamin C Gel Moisturizer,OLEHENRIKSEN
,so hydrating! noticeable difference in how my face looks and feels.,1,0.004542094051519346,Mini Jet Lag Mask,Summer Fridays
,love it! helped keep my skin moisturized all day.,1,0.004541367577139136,SEA drink of H2O hydrating boost moisturizer,tarte
great,"love this product so glad i got to try it , definitely a 10/10 and i going to recommend",1,0.004537379338899397,PRO Strength Microdermabrasion Blackhead Eliminator,Peter Thomas Roth
love love love!,this moisturizer is amazing! it has really helped with my fine lines and wrinkles and makes my face super plump and hydrated. it is my new go-to 10/10!,1,0.004533958522801932,Extra-Firming Energy + Radiance Boosting Moisturizer,Clarins
results,not greasy or sticky. doesn’t make your pores feel clogged. feels very refreshing and even after a few days you can start seeing the difference. i highly recommend!,1,0.004526760456165133,Peptide 21 Wrinkle Resist Moisturizer,Peter Thomas Roth
buy buy buy,"best scrub ever!!! i ususally do not like spending money on products like these, but wanted to give it a chance! it is definitely worth your money",1,0.004523192571730074,Mini Yo Glow AHA & BHA Facial Enzyme Scrub,Wishful
,tried this last night and loved the glow my skin had when i woke up this morning. it moisturized like nothing else i’ve tried and made my skin glowy and beautiful. i received this product free for testing.,1,0.004519708744963194,Hydro Biotic Recovery Sleeping Mask,Dr. Brandt Skincare
so refreshing,"this is such a nice light weight product for sensitive, red or acne skin. i don’t feel like the toner part is effective but the moisturizer is so nice.",1,0.004514265308503056,Cream Skin Toner & Moisturizer,LANEIGE
i see no pores!,in love with this toner! best toner i’ve ever tired! literally i see no pores on my face anymore after using this everyday. also after i put it on my face it feels so refreshing. if ur looking for a toner to minimize the appearance of pores well this one is for u!,1,0.00451395052985919,Balancing Force Oil Control Toner,OLEHENRIKSEN
,one of the best oil i tried,1,0.004512892138336301,100 percent Pure Argan Oil,Josie Maran
,this was a nice light cleanser. i like the smell.,0,0.004506196343931028,Soy Hydrating Gentle Face Cleanser,fresh
great toner,love this strong toner. my pores appear smaller and my skin is brighter.,1,0.004499293938875782,Down to Tone Resurfacing Acid Toner,iNNBEAUTY PROJECT
amazing texture,nice packaging and easy to use! the texture is amazing and smell is like a clean soap.,1,0.004494571192369804,The Cream with TFC8 Face Moisturizer,Augustinus Bader
,amazing! i use it in the day because it is pretty light and i have dry skin.,1,0.004491550586971329,Mini Adaptogen Deep Moisture Cream with Ashwagandha + Reishi,Youth To The People
stinky glow,"as someone with sensitive skin, this product is amazing! it doesn’t break me out, it gives me a nice soft glow and has that good uv protection. the only thing i do not like is that it has a very strong sunscreen smell. it’s honestly all i smell for hours. if it had a better smell or no smell at all, it would definitely become and product i routinely use.",1,0.004485232435922393,Protect + Glow Daily Sunscreen Gel Broad Spectrum SPF 30,TULA Skincare
buy it,this stuff worked like magic if you are hesitant don’t be buy it !!,1,0.0044804253345786735,Mini Faded Serum for Dark Spots & Discoloration,Topicals
,i like this product to use. i can feel some livelyness after using this.,1,0.004477012968811319,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE
